Code,Food Group,Reference,Food Item Name,Mois,Energy,Energy,N,Prot,Fat,SAFA,MUFA,PUFA,Chol,CHO,"CHO,",Total,Added,Fiber,Starch,Ash,Ca,Fe,Mg,P,K,Na,Zn,Cu,Mn,I,Se,VitA-RAE,VitA-RE,Thia,Ribo,Niac,Vit B6,Folate,Vit B12,Panto,Biot,Vit C,Vit D,Vit E,Phytate
,,,,(g),(kCal),(kJ),(g),(g),(g),(g),(g),(g),(mg),Total (g),avail (g),Sugar (g),Sugar (g),(g),(g),(g),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mcg),(mcg),(mcg),(mg),(mg),(mg),(mg),(mcg),(mcg),(mg),(mcg),(mg),(mcg),(mg),(mg)
MW01_0001,Staples,R06,"African cake, (Chikondamoyo/Chigumu cha nthochi ndi dzira)",49,215,911,0.91,5.7,3,,,,,41.4,38.2,,0,3.2,,0.8,15,1.8,54,23,292,12,0.88,0.13,323,0.42,0,5,,0.19,0.08,0.8,0.292,15,0.1,,,4,,0.72,
MW01_0002,Staples,R07,"Banana fritters, (Zitumbuwa)",54.8,189,800,0.51,3.2,2.5,0.12,0.23,0.79,,38.5,35.6,,1.79,2.9,,1,11,1,46,24,377,4,0.51,0.11,665,,,3,0,0.1,0.06,0.8,0.356,12,,,,7,0,1.1,
MW01_0003,Staples,R44,"Bread, wheat, brown, homemade (Buledi wa bulawuni)",11.2,362,1531,1.72,10. 7,6.2,1.71,0.93,0.52,0,65.9,63.2,,2.75,2.7,,0.8,13,4.3,36,134,198,34,0.3,0.04,42,0.18,0,35,0,0.39,0.19,1.9,0.181,56,0,0.1,1.1,,,0.55,
MW01_0004,Staples,2,"Bread, wheat, white, commercial,(Buledi woyera)",35.6,256,1086,1.36,8.5,1.5,,,,,52.1,48.9,,,3.2,,2.3,55,1.2,29,102,137,2000,0.99,0.3,455,,,,,0.15,0.04,1.2,0.071,30,0,0.31,,,,,
MW01_0005,Staples,8,"Bread, wheat, white, homemade,(Buledi woyera)",37.2,270,1141,1.65,10.4,4.6,,,,,46.9,46.5,,,0.4,,1.4,28,1.2,23,92,116,541,0.59,0.16,,,,0,,0.52,0.05,1.5,0.059,29,0,,,0,0,0,
MW02_0001,Legume,R12,"Bean and groundnut stew, (Ndawva)",89.1,54,226,0.44,2.7,2.3,,,,0,5.5,3.3,,0,2.1,,0.4,36,1,21,41,104,2,0.52,0.23,92,0.47,1.4,2,,0.06,0.02,0.6,0.048,23,0,0,,1,0,0.58,
MW02_0002,Legume,R45,"Bean soup, (Supu wa nyemba)",88.7,44,185,0.46,2.9,0.1,,,,0,7.8,4.7,,0,3.1,,0.5,22,1,24,41,166,4,0.49,0.1,174,0.43,1.3,,88,0.04,0.02,0.2,0.043,24,0,0.01,0.2,3,0,0.04,
MW02_0003,Legume,R11,"Bean stew, (Nyemba zouma zokazingira)",88.2,49,208,0.46,2.9,0.8,0.07,0.13,0.45,0,7.6,4.5,,0,3.1,,0.5,45,1.4,20,49,143,4,0.61,0.28,168,0.43,2,3,0,0.04,0.02,0.2,0.04,24,0,0,0,1,0,0.34,
MW03_0001,Animal,R20B,"Beef mince, fried, (Nyama ya ng'ombe yogaya yokazinga)",67.3,159,663,2.54,15.9,9.3,0.84,1.59,5.35,0,2.9,2.5,,0,0.4,0,1.3,94,7,73,131,295,38,2.45,0.42,,,0.9,,0,0.04,0.14,4.5,0.161,5,1,,,1,0.32,3.53,0.18
MW03_0002,Animal,R27,"Beef stew, (Nyama ya ng'ombe yokazingira)",73.6,94,399,2.7,16.9,1.3,,,,,3.8,3,,0,0.8,0,1.6,252,10.4,43,143,392,40,3.32,1.7,0,0.38,5.2,18,,0.06,0.15,4.4,0.166,10,0.9,0.01,,7,0.33,0.45,0.19
MW04_0001,Vegetables,9,"Bean, lima, green, fresh, Phaseolus lunatus, (Kabaifa/Kamumpanda)",66,132,561,1.26,7.8,1,,,,0,23.1,17.5,0,0,5.6,,2.2,29,3.6,66,161,660,17,1.3,0.3,700,,2.1,11,,0.25,0.12,1.7,0.232,,0,0.28,,27,0,0.37,
MW05_0002,Fruits,9,"Avocado, raw, peeled",78,152,629,0.25,1.6,13.7,,,,,5.7,1.3,,,4.4,,1,7,0.7,14,40,455,9,0.3,0.3,170,,,6,,0.06,0.14,1.7,0.32,33,0,,,13,0,1.49,
MW05_0004,Fruits,9,"Banana, white fleshed, raw, peeled",72,109,464,0.2,1.3,0.2,,,,0,25.5,23.4,,0,2.1,,0.8,9,0.3,31,26,391,2,0.2,0.08,740,,,4,,0.04,0.04,0.6,0.36,20,0,,,11,0,0.39,
MW10_0001,,,"Bean, brown",100,69,289,,4.62,0,,,,0,,,0.77,,3.1,,,31,5.54,,,,231,,,,,,,,,,,,,,,,0,,,
MW10_0002,,,"Bean, white",100,92,385,,6.15,0.38,,,,0,,,0.77,,3.8,,,48,1.54,,,324,315,,,,,,,,,,,,,,,,,0,,
MW03_0006,Animal,22,Beef ,72.1,95,402,3.27,20.5,1.5,,,,,0,0,0,0,0,0,1.6,1,7.5,23,177,375,52,1.77,0.1,,,,,0,0.06,0.2,6.5,0.239,7,1.5,,,0,0.42,0.24,0
MW10_0003,,,Biscuits ,29.39,343,1435,,6.74,15.46,,,,14.9,,,4.48,,1.4,44.4,,230,2.71,17,162,120,801,0.54,0.078,,,,142,,,,,,106,0.23,,,,0.4,0.45,
MW01_0003,Staples,R44,"Bread, wheat, brown, homemade",11.2,362,1531,1.72,10.7,6.2,1.71,0.93,0.52,0,65.9,63.2,,2.75,2.7,,0.8,13,4.3,36,134,198,34,0.3,0.04,42,0.18,0,35,0,0.39,0.19,1.9,0.181,56,0,0.1,1.1,,,0.55,
MW01_0041,Staples,R22,Milk scones,47,224,948,1.12,7,4.6,,,,,38.8,38.4,,13.75,0.4,,0.7,72,1.8,15,109,137,51,0.36,,,,,,10,0.76,0.14,0.8,0.124,33,0,1.29,20.7,0,0,1.56,
MW04_0004,Vegetables,9,"Cabbage, raw",92.2,32,136,0.23,1.4,0.1,,,,0,6.3,4.2,,0,2.2,,0.6,1019,41.3,424,31,167,28,3.53,2.03,,,7.8,,7,0.04,0.02,0.3,0.077,15,0,0.15,4.6,29,0,0.24,
MW01_0011,Staples,10,"Cassava, tuber, raw",59.7,160,678,0.2,1.2,0.3,,0,,0,38,36.2,,0,1.8,,1,77,1.5,81,48,275,14,1.13,0.4,,,1,1,,0.04,0.05,0.7,0.091,24,0,,,30,0,0.19,
MW10_0004,,,Chibuku/ Napolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW03_0011,Animal,26,"Chicken, meat with skin, free range, local, raw",73.1,129,541,3.38,21.1,4.9,,,,,0,0,0,0,0,0,1.3,8,1,1.8,146,207,43,1.6,,,,,7,,0.09,0.06,3.7,0.272,2,0.2,,,1,,0.28,0
MW04_0003,Vegetables,9,"Chinese cabbage, boiled",95,19,80,0.13,0.8,0.1,,,,0,3.6,2,,0,1.6,,0.5,84,0.3,15,22,167,9,0.6,0.06,200,,,,8,0.02,0.02,0.5,0.049,13,0,0.09,4.3,38,0,0,
